"","Season","TeamID","PPG","FGP","TPP","FTP","ORPG","DRPG","APG","TOPG","SPG","BPG","PFPG","PCT"
"1214",2005,1189,59.965517,0.409574,0.324056,0.628885,9.793103,22.068966,10.758621,15.482759,7.689655,2.172414,17.896552,0.241379
"1215",2006,1189,65.038462,0.432572,0.321862,0.688462,10.230769,23.692308,13.269231,15.653846,7.038462,2.615385,18.653846,0.461538
"1216",2007,1189,61.214286,0.409987,0.327273,0.678571,10.642857,22.571429,10.678571,14.464286,5.928571,2.607143,19.464286,0.178571
"1217",2008,1189,62.483871,0.426123,0.315789,0.68125,10.290323,22.516129,11.548387,13.387097,6.645161,2.516129,19,0.419355
"1218",2009,1189,64.724138,0.428843,0.348606,0.656546,9.793103,21.965517,13.068966,13.931034,6.655172,3.310345,18.448276,0.310345
"1219",2010,1189,65.774194,0.406655,0.318379,0.647766,10.322581,22.903226,12.193548,13.258065,5.677419,2.032258,18.709677,0.258065
"1220",2011,1189,72.285714,0.420088,0.354196,0.722403,9.964286,22.928571,13.464286,12.535714,5.178571,2.464286,19.678571,0.392857
"1221",2012,1189,68.241379,0.413018,0.344828,0.676951,10.206897,25.758621,12.551724,13.862069,4.448276,2.517241,18.482759,0.448276
"1222",2013,1189,68.033333,0.43128,0.344136,0.714004,8.966667,24.8,13.066667,11.466667,6.266667,3.466667,17.233333,0.633333
"1223",2014,1189,71.655172,0.452783,0.363192,0.711538,8.896552,24.206897,13.172414,11.862069,4.793103,2.758621,18.275862,0.551724
"1224",2015,1189,67.774194,0.412981,0.344551,0.683969,10.322581,22.83871,11.032258,13.129032,6.290323,1.354839,21.096774,0.419355
"1225",2016,1189,74.633333,0.441372,0.338631,0.666667,10.166667,26.433333,14.933333,12.7,5.1,2.2,19.433333,0.466667
"1226",2017,1189,73.766667,0.439592,0.356608,0.696858,8.7,28.4,14.166667,11.666667,4.866667,2.366667,16.566667,0.533333
"1227",2003,1190,79.703704,0.457177,0.343902,0.738806,14,24.037037,14.037037,18.740741,10.703704,5.259259,19.518519,0.62963
"1228",2004,1190,77.931034,0.463883,0.354508,0.67737,12.206897,25.517241,15.37931,16.172414,10.931034,5.586207,16.862069,0.827586
"1229",2005,1190,74.576923,0.44486,0.364211,0.682828,12.269231,24.384615,11.076923,16.769231,7.769231,2.038462,18.461538,0.269231
"1230",2006,1190,81.571429,0.471812,0.328629,0.644481,14.607143,24.214286,12.178571,16.714286,10.285714,2.714286,17.464286,0.535714
"1231",2007,1190,73.096774,0.456825,0.345725,0.729685,11.387097,24.612903,15.741935,16.806452,9.83871,4.516129,19.967742,0.709677
"1232",2008,1190,77.935484,0.451032,0.350962,0.718659,12.387097,24.741935,12.870968,16.16129,8.645161,3.16129,21.096774,0.580645
"1233",2009,1190,78.09375,0.463555,0.341727,0.71278,11.40625,26.125,12.40625,14,8.375,3.71875,18.3125,0.6875
"1234",2010,1190,69.030303,0.434175,0.314126,0.661745,12.666667,23.666667,10.878788,14.666667,8.272727,3.181818,19.090909,0.575758
"1235",2011,1190,67.9375,0.443724,0.334737,0.667979,11.71875,24.53125,10.375,13.625,6.375,3.875,18.59375,0.65625
"1236",2012,1190,67.166667,0.441791,0.308483,0.630699,12.9,20.966667,10.266667,13.533333,10.233333,2.8,16.933333,0.533333
"1237",2013,1190,61.290323,0.399053,0.322951,0.664794,9.580645,20.83871,9.774194,13.290323,6.225806,2.225806,16.290323,0.290323
"1238",2014,1190,75.78125,0.426407,0.362319,0.743176,10.125,24.4375,12.09375,11.9375,7.71875,2.9375,20,0.53125
"1239",2015,1190,71.428571,0.415543,0.367288,0.724638,10.428571,23.107143,12.107143,12.821429,7.714286,2.535714,20.214286,0.5
"1240",2016,1190,76.21875,0.461042,0.381657,0.702417,10.0625,24.625,12.25,12.6875,6.5,3.5625,20.21875,0.65625
"1241",2017,1190,79.59375,0.494111,0.382166,0.697823,9.59375,26.15625,14.84375,14.9375,8.59375,4.875,20.34375,0.78125
"1242",2003,1191,70,0.483405,0.391408,0.7296,8.785714,23.071429,15.75,15.928571,5.392857,3.392857,19.892857,0.428571
"1243",2004,1191,67.655172,0.453115,0.371429,0.661922,8.655172,25.172414,14.965517,15.517241,3.896552,2.931034,20.827586,0.241379
"1244",2005,1191,70.928571,0.453064,0.380399,0.669708,9.571429,23.035714,15.642857,14.107143,4.75,2.107143,19.071429,0.392857
"1245",2006,1191,65.344828,0.421885,0.32247,0.723729,9.310345,24.517241,13.034483,16.551724,4.655172,2.655172,19.931034,0.344828
"1246",2007,1191,68.741935,0.45679,0.397906,0.733038,8.548387,22.451613,13.903226,12.806452,4.774194,2.548387,19.258065,0.451613
"1247",2008,1191,59.586207,0.415972,0.389175,0.685353,9.310345,20.551724,12,13.896552,4.551724,0.862069,19.758621,0.275862
"1248",2009,1191,66.551724,0.44782,0.32526,0.695652,9.793103,23.586207,14.586207,13.241379,5.655172,1.241379,19.931034,0.551724
"1249",2010,1191,63.862069,0.426837,0.348285,0.729904,9.310345,23.586207,13.827586,14.310345,5,1.551724,21.413793,0.275862
"1250",2011,1191,65.310345,0.439863,0.343085,0.711144,8.103448,22.068966,13.793103,13,5.551724,1.862069,20.724138,0.482759
"1251",2012,1191,72.833333,0.454433,0.389671,0.775714,8.733333,20.3,15.833333,12.766667,7.533333,1.633333,21.7,0.5
"1252",2013,1191,66.935484,0.432417,0.367886,0.737044,9.83871,22.774194,15.580645,11.16129,5.741935,3.16129,17.516129,0.548387
"1253",2014,1191,68.129032,0.456286,0.352941,0.714286,8.354839,23.645161,14.16129,12.83871,5.096774,3.741935,18.903226,0.387097
"1254",2015,1191,67.733333,0.470114,0.341808,0.744898,7.733333,23.766667,14.933333,13.066667,5.266667,3.633333,17.466667,0.6
"1255",2016,1191,74,0.488466,0.359268,0.726044,7.515152,27.787879,17.363636,12.606061,5.181818,4.393939,17.666667,0.727273
"1256",2017,1191,68.935484,0.452497,0.369427,0.711436,8.935484,25.193548,13.032258,12.193548,5.129032,2.870968,20.387097,0.451613
"1257",2003,1192,72.62069,0.437389,0.351931,0.70438,10.068966,21.275862,14.034483,14.586207,6,2.344828,19.241379,0.517241
"1258",2004,1192,68.642857,0.425287,0.345009,0.691974,11.25,21.464286,13.571429,12,6.964286,4.321429,19.857143,0.571429
"1259",2005,1192,74.16129,0.451561,0.351443,0.669903,12.451613,23.645161,15.032258,13.903226,7.129032,4.419355,18.967742,0.612903
"1260",2006,1192,73.466667,0.455462,0.351648,0.646566,11.5,24.966667,15.8,14.8,7.433333,6.266667,16.766667,0.633333
"1261",2007,1192,72.655172,0.428002,0.324138,0.70339,12.724138,22.655172,12.827586,13.448276,6.172414,3.241379,17.758621,0.448276
"1262",2008,1192,70.035714,0.418945,0.355346,0.712821,9.928571,22.785714,11.678571,14.071429,4.964286,2.964286,16.214286,0.285714
"1263",2009,1192,63.633333,0.418216,0.280822,0.636496,11.5,20.566667,11.166667,17.033333,5.833333,4.333333,17.233333,0.233333
"1264",2010,1192,63.34375,0.417759,0.322148,0.647376,9.96875,25.28125,11.28125,15.5,5.5,3.96875,19.0625,0.34375
"1265",2011,1192,64.344828,0.397404,0.320513,0.675039,12.62069,24.689655,11.655172,15.103448,5.724138,3.517241,19.137931,0.172414
"1266",2012,1192,60.758621,0.412209,0.277354,0.659615,10.413793,22.965517,11.103448,15.172414,5.758621,3.793103,18.758621,0.103448
"1267",2013,1192,65.612903,0.432239,0.349908,0.671186,8.83871,21.903226,13.032258,15.677419,5.774194,3.258065,18.419355,0.225806
"1268",2014,1192,68.689655,0.41459,0.350427,0.720613,10.758621,21.137931,10.37931,11.827586,6.62069,4.103448,21.275862,0.310345
"1269",2015,1192,66.214286,0.404403,0.321131,0.689338,10.214286,19.321429,10.75,12.678571,8.571429,3.107143,22.678571,0.25
"1270",2016,1192,76.83871,0.456383,0.364668,0.698891,10.548387,22.580645,14.096774,13,7.354839,2.516129,21.580645,0.548387
"1271",2017,1192,71.965517,0.436474,0.326531,0.772727,9.517241,22.724138,11.965517,13.310345,6.241379,2.344828,21.37931,0.344828
"1272",2003,1193,70.633333,0.443419,0.330749,0.722368,11.8,25.6,12.833333,17.133333,7.6,5.333333,20.3,0.633333
"1273",2004,1193,67.6,0.423261,0.345652,0.737097,12.466667,23.266667,12.766667,14.2,7.133333,4.266667,18.066667,0.633333
"1274",2005,1193,68.033333,0.425926,0.304015,0.723104,12.3,22.733333,14.6,13.066667,7.533333,6.4,19.166667,0.5
"1275",2006,1193,72.071429,0.425211,0.37785,0.747515,11.214286,20.821429,12.892857,11.607143,6.857143,2.392857,19.785714,0.321429
"1276",2007,1193,62.375,0.409806,0.325623,0.708333,13.46875,18.59375,12.78125,14.75,6.96875,3.09375,19.125,0.40625
"1277",2008,1193,65.733333,0.432884,0.383613,0.696667,11.866667,21.033333,14.133333,14,6.6,3.233333,18.266667,0.466667
"1278",2009,1193,65.40625,0.420843,0.332779,0.656646,11.625,22.875,13.34375,13.40625,6.40625,3.6875,17.78125,0.53125
"1279",2010,1193,70.5625,0.432244,0.331606,0.691131,13.46875,23.15625,13.8125,13.46875,7.4375,5.09375,18.28125,0.6875
"1280",2011,1193,65.16129,0.43232,0.307143,0.659193,12.258065,24.16129,13.612903,14.096774,8.193548,3.741935,17.548387,0.774194
"1281",2012,1193,65.272727,0.444002,0.356098,0.659011,11.393939,22.272727,15.030303,14.939394,8.121212,4.121212,18.484848,0.575758
"1282",2013,1193,60.323529,0.421761,0.31405,0.683908,11.147059,22.176471,12.5,13.529412,7.088235,3.882353,19.588235,0.558824
"1283",2014,1193,63.4375,0.397604,0.333333,0.685338,11.125,24.3125,11.25,14.65625,4.40625,3.65625,22.9375,0.21875
"1284",2015,1193,59.516129,0.3891,0.322476,0.716239,9.225806,22.354839,10.451613,12.774194,4.967742,3.516129,19.096774,0.225806
"1285",2016,1193,76.875,0.443636,0.362155,0.734921,9.09375,25.6875,15.5625,13.15625,6.46875,4.125,19.15625,0.59375
"1286",2017,1193,72.266667,0.441275,0.335128,0.682,8.8,27.233333,14.8,13.433333,5.366667,3,18.333333,0.533333
"1287",2003,1194,69.074074,0.392713,0.335249,0.668008,14.37037,21.555556,12.222222,16.62963,9.074074,3.481481,23.333333,0.222222
"1288",2004,1194,76.153846,0.427904,0.349376,0.65567,14.692308,23.576923,14.346154,15.615385,8.961538,3.5,21.269231,0.269231
"1289",2005,1194,76.777778,0.438895,0.351548,0.642263,14.296296,24.814815,13.185185,17.259259,8.703704,4.333333,20.333333,0.37037
"1290",2006,1194,73.392857,0.474555,0.399261,0.685771,11.107143,20.964286,15.75,15.071429,8.071429,1.964286,18.321429,0.535714
"1291",2007,1194,74.233333,0.48303,0.364892,0.692427,9.4,23.5,15.066667,15.266667,6.566667,1.833333,20.066667,0.5
"1292",2008,1194,71.666667,0.454705,0.373796,0.673604,10.212121,24.515152,12.575758,16.242424,5.969697,2.242424,21.121212,0.454545
"1293",2009,1194,64.96875,0.414181,0.325188,0.739353,11.15625,22.25,12.21875,12.25,4.46875,3.25,18.5625,0.1875
"1294",2010,1194,71.785714,0.426873,0.384615,0.665448,12.035714,22.5,14.071429,12.214286,5.571429,4.285714,20.642857,0.428571
"1295",2011,1194,67.137931,0.439163,0.324948,0.650641,11.068966,21.896552,11.862069,11.344828,6.034483,4.793103,18.482759,0.655172
"1296",2012,1194,64.793103,0.408383,0.333333,0.660455,11.896552,21.344828,12.37931,12.241379,6.758621,4.413793,19.068966,0.344828
"1297",2013,1194,64.806452,0.420143,0.353053,0.694631,11.354839,24.741935,10,15.193548,5.16129,5.096774,18.225806,0.419355
"1298",2014,1194,65.1,0.419001,0.32699,0.652101,11.933333,23.666667,11.333333,12.766667,4.7,4.566667,18.6,0.266667
"1299",2015,1194,62.481481,0.415584,0.349462,0.678133,8.888889,21.814815,10.037037,12.62963,4.37037,3.259259,18.333333,0.259259
"1300",2016,1194,65.967742,0.40434,0.340557,0.723894,8.419355,23.903226,11.83871,12.129032,5.258065,4.258065,19.322581,0.225806
"1301",2017,1194,69.035714,0.405516,0.313131,0.704633,10.464286,24.642857,11.785714,11.75,5.285714,2.928571,19.214286,0.285714
"1302",2008,1195,65.967742,0.41504,0.340764,0.645973,12.612903,21.677419,13.645161,18.129032,8.903226,3,18.580645,0.322581
"1303",2009,1195,65.166667,0.404229,0.337423,0.701001,10.966667,23.366667,13.566667,17.533333,7.466667,2.966667,20.466667,0.333333
"1304",2010,1195,64.655172,0.422001,0.303178,0.648515,13.62069,22.068966,13.896552,17.034483,8,3.517241,21.655172,0.275862
"1305",2011,1195,65.666667,0.401324,0.329567,0.65113,13.233333,23.366667,12.066667,16.666667,6.3,2.166667,18.633333,0.333333
"1306",2012,1195,71.83871,0.453608,0.372881,0.670569,11.419355,23.419355,13.354839,14.774194,8.16129,3.903226,19.129032,0.451613
"1307",2013,1195,72.34375,0.455978,0.330733,0.670347,11.6875,24.75,13.71875,14.65625,8.8125,3.78125,17.59375,0.6875
"1308",2014,1195,71.875,0.463889,0.318761,0.688351,10.09375,26.375,12.4375,13.03125,5.71875,3.5,17.96875,0.625
"1309",2015,1195,67.793103,0.42883,0.339321,0.677536,12.448276,25.448276,13.655172,11.724138,5.689655,3.931034,17.413793,0.655172
"1310",2016,1195,75.586207,0.469575,0.345882,0.64511,11.448276,27.965517,12.896552,12,6.137931,4.034483,19.62069,0.551724
"1311",2017,1195,76.433333,0.486502,0.33935,0.695431,11.3,25.633333,14,12.333333,5.266667,3.366667,18.933333,0.766667
"1312",2003,1196,75.903226,0.476598,0.392128,0.705281,10.806452,24.258065,16.419355,13.387097,7.774194,4.096774,16.903226,0.774194
"1313",2004,1196,77.103448,0.483035,0.376997,0.753472,10.413793,25.034483,16.482759,14.724138,6.655172,3.103448,18.793103,0.666667
"1314",2005,1196,77.103448,0.491483,0.39469,0.698925,11.344828,25.62069,15.137931,13.62069,7.034483,4.586207,18.206897,0.766667
"1315",2006,1196,80.21875,0.508552,0.392447,0.733154,10.8125,24.5625,17.21875,14.78125,8.15625,5.03125,16.28125,0.818182
"1316",2007,1196,79.393939,0.526846,0.408547,0.680822,11.030303,26.030303,15.878788,14.060606,7.121212,4.818182,15.787879,0.852941
"1317",2008,1196,78.125,0.487207,0.359467,0.709091,11.96875,23.84375,17.28125,12.59375,6,3.1875,16.09375,0.65625
"1318",2009,1196,77.393939,0.475343,0.367847,0.691152,11.151515,23.212121,16.69697,12.060606,8.424242,2.757576,16.121212,0.69697
"1319",2010,1196,71.606061,0.443983,0.313312,0.702454,13.181818,23.787879,14.060606,12.181818,7.151515,2.727273,14.454545,0.636364
"1320",2011,1196,72.09375,0.464107,0.356115,0.670213,13.03125,24.5,13.8125,12.375,6.03125,3.5,14.1875,0.787879
"1321",2012,1196,76.272727,0.460644,0.390012,0.712,11.454545,23.69697,15,10.909091,6.484848,3.272727,15.848485,0.69697
"1322",2013,1196,71.90625,0.484483,0.381636,0.688363,10.46875,24.625,15,11.0625,6.9375,3.375,14.25,0.787879
"1323",2014,1196,71.030303,0.462952,0.36645,0.666229,11.636364,23.969697,13.393939,11.272727,7.151515,2.848485,16.030303,0.941176
"1324",2015,1196,63.666667,0.434487,0.323442,0.63472,10.545455,22.636364,13.060606,12.393939,6.909091,3.575758,16.909091,0.484848
"1325",2016,1196,73.606061,0.421741,0.311989,0.642945,13.151515,26.969697,13.060606,11.424242,6.333333,4.454545,19.606061,0.575758
"1326",2017,1196,78.28125,0.449551,0.362044,0.72644,11.5625,25.78125,12.625,11.8125,7.5625,4.84375,18.59375,0.75
"1327",2003,1197,71.482759,0.43074,0.38835,0.676724,13.448276,24.448276,11.241379,17.482759,7.241379,2.103448,19.896552,0.586207
"1328",2004,1197,72.1,0.413628,0.346995,0.713315,11.433333,22.533333,12.7,16.933333,8.333333,1.6,21.9,0.466667
"1329",2005,1197,68,0.425455,0.327731,0.656051,13.689655,22.758621,11.310345,17.275862,7.344828,1.413793,20.137931,0.482759
"1330",2006,1197,66.6,0.435962,0.307339,0.701601,12.466667,22.966667,10.266667,18.033333,8.3,1.633333,17.2,0.433333
"1331",2007,1197,68.967742,0.448044,0.362173,0.658635,12.612903,23.709677,13.419355,17.548387,6.645161,1.709677,18,0.580645
"1332",2008,1197,63.466667,0.407895,0.345779,0.621673,10.5,21.566667,12.4,15.2,6.633333,1.9,17.466667,0.433333
"1333",2009,1197,61.258065,0.388051,0.321101,0.62234,9.870968,21.129032,10.741935,13.935484,6.935484,2.129032,19,0.322581
"1334",2010,1197,62.633333,0.4,0.304673,0.64,11.533333,21.966667,9.9,15.433333,5.566667,2.566667,18.833333,0.266667
"1335",2011,1197,61.535714,0.38366,0.299083,0.616613,12.964286,23.821429,8.642857,16.321429,7.035714,3.928571,19.178571,0.285714
"1336",2012,1197,64.483871,0.398616,0.326454,0.625239,14.290323,21.612903,10.16129,15.709677,7.483871,4.16129,20.548387,0.258065
"1337",2013,1197,62.724138,0.383714,0.303263,0.627907,12.517241,21.965517,10.37931,15.931034,8,3.344828,19.758621,0.206897
"1338",2014,1197,69.233333,0.392628,0.323283,0.651969,14.833333,23.9,10.666667,14.666667,7.2,4.133333,24.266667,0.4
"1339",2015,1197,55.413793,0.373333,0.28266,0.64903,9.689655,21.827586,8.310345,14.310345,4.931034,2.137931,17.862069,0.068966
"1340",2016,1197,62.592593,0.394844,0.303675,0.589457,9.703704,24.481481,10.777778,16.222222,6.407407,2.185185,19.407407,0.222222
"1341",2017,1197,69.964286,0.414663,0.339394,0.6576,10.285714,24.071429,12.25,13.321429,5.964286,3.25,18.857143,0.178571
"1342",2003,1198,59.892857,0.407661,0.307692,0.610577,13.714286,20.857143,9.5,15.857143,7.75,2.035714,19.214286,0.25
"1343",2004,1198,54.28,0.396523,0.282609,0.642702,10.88,21.68,8.56,19.32,5.36,2.84,19.16,0.12
"1344",2005,1198,67.137931,0.439424,0.309302,0.650138,12.689655,25.137931,13.034483,18.827586,6.862069,3.241379,21.241379,0.413793
"1345",2006,1198,61.296296,0.407329,0.336864,0.603908,10.888889,24.037037,11.851852,17.851852,6.074074,3.333333,23.296296,0.259259
"1346",2007,1198,65.111111,0.418729,0.329502,0.651072,11.185185,22.444444,11.481481,15.37037,6.62963,2.555556,18.851852,0.37037
"1347",2008,1198,63.392857,0.439278,0.330645,0.659829,10.607143,23.607143,12.214286,18.642857,5.964286,3.857143,21.142857,0.285714
"1348",2009,1198,62.903226,0.416206,0.357278,0.638801,11.096774,22.677419,11.967742,14.870968,5.258065,2.774194,19.032258,0.387097
"1349",2010,1198,67.354839,0.41525,0.288889,0.692308,11.741935,20.548387,12.225806,13.354839,8.064516,1.806452,19.516129,0.193548
"1350",2011,1198,71.142857,0.434496,0.329718,0.686922,11.392857,22.142857,10.464286,14.785714,8.142857,3.607143,21.25,0.321429
"1351",2012,1198,63.142857,0.414501,0.334107,0.722807,10.857143,21.607143,9.357143,14.571429,7.214286,3.892857,20.285714,0.285714
"1352",2013,1198,69.0625,0.426979,0.333333,0.707165,11,21.625,11.53125,15.125,9.34375,2.71875,18.84375,0.5625
"1353",2014,1198,67.535714,0.439122,0.312785,0.672868,11.392857,23.785714,10.285714,13.75,6.821429,3.892857,18.178571,0.464286
"1354",2015,1198,62,0.43707,0.312775,0.643216,9.516129,24.387097,10.774194,14.935484,6.516129,4.451613,18.419355,0.451613
"1355",2016,1198,71.3,0.468022,0.368085,0.672269,10.333333,26.866667,11.9,13.133333,4.8,4.566667,19.1,0.366667
"1356",2017,1198,69.413793,0.446847,0.323587,0.755789,9.965517,23.448276,11.034483,13.034483,5.862069,2.241379,18.689655,0.172414
"1357",2003,1199,68.068966,0.43201,0.332737,0.671756,10.62069,24,13.931034,14.896552,9.448276,4.482759,18.931034,0.482759
"1358",2004,1199,70.933333,0.439784,0.384505,0.688928,11.433333,24.1,14.933333,15.7,8.933333,3.5,19.1,0.566667
"1359",2005,1199,68,0.44727,0.356618,0.667769,9.933333,23.266667,12.366667,16.133333,6.766667,3.166667,19.5,0.366667
"1360",2006,1199,77.392857,0.481458,0.379828,0.707602,11.071429,22.285714,13.678571,16.107143,9.035714,2.5,19.178571,0.678571
"1361",2007,1199,74.125,0.472067,0.371972,0.768092,10.9375,20.84375,12.3125,14.375,7.78125,3.3125,17.71875,0.625
"1362",2008,1199,72.454545,0.443784,0.353846,0.77003,10.848485,22.727273,11.090909,15.030303,8.727273,3.848485,18.878788,0.575758
"1363",2009,1199,68.606061,0.433836,0.338333,0.722222,11.727273,24.212121,12.363636,15.757576,8.363636,5.848485,18.636364,0.735294
"1364",2010,1199,68.483871,0.454925,0.335196,0.645609,12.741935,25.290323,13.903226,16.774194,8.387097,6.322581,17.83871,0.709677
"1365",2011,1199,69.322581,0.435956,0.330465,0.663142,12.451613,26.580645,12.483871,16.129032,8.774194,5.741935,19.258065,0.677419
"1366",2012,1199,69.875,0.454082,0.347197,0.702703,11.84375,25.0625,11.9375,16.3125,7.71875,5.9375,18.75,0.727273
"1367",2013,1199,67.030303,0.443208,0.346084,0.731988,9.454545,21.545455,11.424242,14.515152,6.272727,4.939394,17.727273,0.545455
"1368",2014,1199,70.40625,0.464755,0.369128,0.722826,10.875,23.84375,10.9375,13.96875,5.96875,5.375,18.09375,0.59375
"1369",2015,1199,66.636364,0.457485,0.312766,0.669221,9.939394,23.666667,11.515152,14.484848,5.484848,4.757576,18.545455,0.515152
"1370",2016,1199,78.09375,0.465868,0.34684,0.68932,11.46875,25.4375,13.28125,13.0625,7.1875,4.125,19.46875,0.59375
"1371",2017,1199,82.454545,0.483268,0.356358,0.691906,11.787879,25.939394,14.69697,11.818182,7.363636,5.090909,19.424242,0.757576
"1372",2003,1200,64.642857,0.412214,0.333913,0.618042,11.464286,22.357143,12.107143,17.464286,7.428571,3.285714,21.107143,0.071429
"1373",2004,1200,61.964286,0.402195,0.319084,0.57732,10.928571,20.464286,12.607143,16.464286,7.857143,2.571429,18.642857,0.214286
"1374",2005,1200,63.068966,0.42215,0.338104,0.641791,12.137931,21.551724,13.172414,16.37931,7.517241,4.241379,17.137931,0.448276
"1375",2006,1200,67.75,0.427262,0.368827,0.686028,11.9375,21.84375,13.375,12.78125,5.46875,3.8125,16.90625,0.5
"1376",2007,1200,65.466667,0.436375,0.357414,0.669872,10.733333,21.066667,13.633333,14.233333,7.333333,4.1,19.266667,0.6
"1377",2008,1200,64.428571,0.421938,0.322148,0.66791,10.607143,20.928571,13.321429,13.071429,6.321429,3.464286,17.785714,0.392857
"1378",2009,1200,61.357143,0.379459,0.297012,0.626243,10.785714,19.607143,10.821429,12.5,6.214286,2.857143,19.464286,0.107143
"1379",2010,1200,64.035714,0.379859,0.278008,0.678309,12.821429,24.535714,9.75,15.5,5.607143,4.107143,19.857143,0.071429
"1380",2011,1200,64.107143,0.396088,0.336414,0.630219,13.178571,24.714286,12.5,14.035714,4.178571,4.392857,18.357143,0.25
"1381",2012,1200,61.965517,0.383459,0.2749,0.60989,14.586207,23.275862,11.965517,13.758621,6.517241,5.62069,17.793103,0.344828
"1382",2013,1200,64.419355,0.402241,0.311111,0.674099,13.419355,24.16129,12.16129,15.645161,4.935484,4.096774,20.322581,0.225806
"1383",2014,1200,71.741935,0.393409,0.305981,0.733436,14.451613,22.709677,12.225806,11.387097,6.677419,4.064516,19.870968,0.322581
"1384",2015,1200,64.033333,0.413057,0.298305,0.721402,11.7,24.033333,12.266667,14.766667,6.766667,3.9,18.9,0.3
"1385",2016,1200,71.172414,0.444716,0.344564,0.68638,10.413793,24.103448,15.448276,13.862069,8.310345,3.793103,19.862069,0.551724
"1386",2017,1200,64.16129,0.410767,0.331572,0.730853,8.16129,20.322581,13.032258,13.225806,9.774194,2.903226,19.193548,0.387097
"1387",2003,1201,71.642857,0.448361,0.354651,0.706439,13.428571,24.321429,14.75,15.785714,6.571429,4.428571,19.892857,0.714286
"1388",2004,1201,62.642857,0.434054,0.36646,0.69958,11.178571,23.964286,13.678571,13.535714,5.071429,2.892857,15.964286,0.464286
"1389",2005,1201,71.724138,0.437278,0.358459,0.652101,12.275862,26.137931,14.931034,15.896552,5.655172,4,17.206897,0.517241
"1390",2006,1201,73.821429,0.409568,0.351459,0.710714,11.857143,22.714286,14.071429,13.464286,8.178571,3.857143,17.357143,0.535714
"1391",2007,1201,71.129032,0.416104,0.338882,0.648094,10,28.741935,14.322581,13.419355,5.774194,6.516129,16.322581,0.709677
"1392",2008,1201,68.225806,0.414175,0.340081,0.700382,8.645161,24.935484,12.258065,11.806452,6.032258,3,15.870968,0.387097
"1393",2009,1201,67.617647,0.438319,0.348074,0.671151,10.294118,23.147059,14.176471,14.441176,6.558824,4.735294,16.735294,0.382353
"1394",2010,1201,66.34375,0.424666,0.321267,0.680787,10.34375,23,14.125,13.9375,7.90625,4.28125,16.96875,0.4375
"1395",2011,1201,67.4,0.422711,0.294788,0.631976,12.266667,23.533333,14.2,13.7,8.4,3.533333,18.3,0.433333
"1396",2012,1201,65.129032,0.40678,0.313894,0.718447,10.483871,20.774194,11.387097,10.709677,7.032258,3.16129,19.903226,0.354839
"1397",2013,1201,58.035714,0.378453,0.337423,0.674074,10.357143,21.571429,8.714286,11.464286,6.607143,3.428571,19.607143,0.321429
"1398",2014,1201,71.709677,0.426201,0.360119,0.723122,9.193548,23.741935,12.064516,9.451613,6.225806,3.870968,19.548387,0.483871
"1399",2015,1201,63.333333,0.419005,0.312977,0.692939,8.6,22.2,9.833333,11.133333,7.466667,3.533333,20.633333,0.433333
"1400",2016,1201,74.625,0.430484,0.343003,0.695946,11.4375,25.59375,13.0625,10.625,8.15625,3.71875,22.25,0.71875
"1401",2017,1201,73.3,0.451234,0.35337,0.678726,9.5,25.766667,12.3,13.366667,8.266667,3.7,22.1,0.6
"1402",2003,1202,64.535714,0.417092,0.327766,0.690909,12.678571,22.892857,12.714286,14.821429,6.928571,2.892857,17.464286,0.392857
"1403",2004,1202,72.423077,0.450408,0.350844,0.707457,10.923077,25.769231,15.346154,15.461538,7.692308,3.230769,17.923077,0.538462
"1404",2005,1202,67.72,0.441587,0.363951,0.693827,10.4,20.8,14.8,15.12,8.24,2.08,17.44,0.48
"1405",2006,1202,69.24,0.448919,0.364937,0.732426,10.32,22.4,14.64,14.44,6.64,2.64,16.84,0.48
"1406",2007,1202,67.448276,0.438931,0.366501,0.752119,10.172414,21.896552,14,14.793103,6.482759,2.172414,18.793103,0.448276
"1407",2008,1202,61.233333,0.402263,0.331858,0.709402,8.833333,22.433333,12,14.433333,5.766667,2.1,16.533333,0.233333
"1408",2009,1202,60.535714,0.401479,0.309572,0.689723,10.321429,20.428571,11.357143,14.107143,5.285714,2.964286,20.214286,0.142857
"1409",2010,1202,67.928571,0.41573,0.343373,0.708084,10.964286,24.892857,11.214286,14.785714,4.892857,5.107143,21.535714,0.392857
"1410",2011,1202,68.466667,0.446822,0.373239,0.730709,10.733333,23.166667,12.133333,13.1,5.033333,3.166667,19,0.666667
"1411",2012,1202,63.62069,0.411648,0.340388,0.713287,11.103448,22.517241,10.413793,13.965517,5.103448,3.275862,19.275862,0.448276
"1412",2013,1202,58.724138,0.399455,0.326376,0.69305,9.413793,21.655172,10.344828,14.551724,5.275862,3.655172,15.551724,0.172414
"1413",2014,1202,63.222222,0.437913,0.323877,0.683544,8.407407,21.888889,9.074074,13.62963,4.592593,2.962963,16.592593,0.259259
"1414",2015,1202,62.709677,0.425197,0.328926,0.667162,9.451613,22.258065,9.83871,13.354839,5.193548,2.870968,18,0.290323
"1415",2016,1202,69.806452,0.449132,0.318991,0.704641,10.225806,23.935484,11.516129,13.290323,5.870968,3.225806,18.354839,0.516129
"1416",2017,1202,72.7,0.469688,0.383191,0.698706,8.8,24.966667,14.5,12.933333,6.566667,2.433333,18.033333,0.633333
